City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,ilulissat,69.2167,-51.1,10.01,62,0,2.06,GL,1722976308
135,santiago de cao,-7.9589,-79.2392,17.07,88,100,6.17,PE,1722976308
136,nemuro,43.3236,145.575,17.51,100,100,2.59,JP,1722976308
137,marica,-22.9194,-42.8186,27.97,72,0,5.2,BR,1722976226
138,puerto deseado,-47.7503,-65.8938,3.83,68,77,4.03,AR,1722976308
139,berezovyy,51.6667,135.7,19.84,86,21,1.32,RU,1722976308
140,saint joseph,39.7686,-94.8466,25.78,61,75,4.63,US,1722976158
141,palmer,42.1584,-72.3287,22.14,78,100,3.6,US,1722976308
142,dalandzadgad,43.5708,104.425,25.67,31,100,8.2,MN,1722976308
143,mata-utu,-13.2816,-176.1745,26.08,77,93,10.34,WF,1722976309
144,mirny,62.5353,113.9611,9.18,77,90,1.72,RU,1722976309
145,barkot,30.8167,78.2,20.04,98,100,0.57,IN,1722976309
146,mulanje,-16.0316,35.5,17.55,71,0,3.88,MW,1722976309
147,carnarvon,-24.8667,113.6333,19.2,67,19,3.68,AU,1722976309
148,hawaiian paradise park,19.5933,-154.9731,28.74,70,0,3.09,US,1722976309
149,dudinka,69.4058,86.1778,6.33,73,0,8.75,RU,1722976309
150,kerikeri,-35.2268,173.9474,9.73,82,29,0.7,NZ,1722976309
151,ashburton,-37.8626,145.0794,10.22,77,74,1.34,AU,1722976309
152,sokcho,38.2083,128.5911,26.34,83,0,0.51,KR,1722976309
153,mitsamiouli,-11.3847,43.2844,25.32,71,6,1.95,KM,1722976310
154,namanyere,-7.5167,31.05,17.13,30,22,2.02,TZ,1722976310
155,belmonte,-15.8631,-38.8828,22.57,86,2,4.64,BR,1722976310
156,anchorage,61.2181,-149.9003,17.2,86,100,8.75,US,1722976200
157,campo grande,-20.4428,-54.6464,31.75,20,0,6.17,BR,1722975982
158,qaqortoq,60.7167,-46.0333,8.19,98,100,0.48,GL,1722976310
159,weno,7.4515,151.8468,28.82,73,79,3.93,FM,1722976310
160,es castell,39.8795,4.2854,26.38,73,0,1.54,ES,1722976310
161,bhopal,23.2667,77.4,23.7,91,100,4.52,IN,1722976310
162,invercargill,-46.4,168.35,4.45,87,98,3.26,NZ,1722976310
163,six-fours-les-plages,43.0938,5.84,26.17,75,31,3.04,FR,1722976310
164,grootfontein,-19.5667,18.1167,17.22,19,0,1.41,NA,1722976311
165,zhezqazghan,47.7833,67.7667,27.27,26,72,3.34,KZ,1722976311
166,la passe,45.5549,-0.8967,22.21,88,96,2.62,FR,1722976311
167,champerico,14.3,-91.9167,35.3,72,36,4.04,GT,1722976311
168,posse,-14.0931,-46.3694,24.81,22,2,3.33,BR,1722976311
169,mil'kovo,55.6078,37.7956,18.68,65,13,2.02,RU,1722976311
170,timimoun,29.2639,0.231,40.21,11,0,2.06,DZ,1722976311
171,taro,-8.3862,115.28,22.0,100,100,0.94,ID,1722976311
172,howard springs,-12.497,131.047,21.95,93,15,2.27,AU,1722976311
173,namibe,-15.1961,12.1522,18.29,92,39,2.46,AO,1722976311
174,san antonio de pale,-1.4014,5.6325,23.05,74,95,5.22,GQ,1722976312
